性別,球員,#,聯盟,球隊,連結,現役,身份,新秀,聯盟身份,位置,身高,體重,生日,學歷,入隊方式,class,合約,,剩餘年限,備注,,2023-24 球隊,,GP,PPG,RPG,APG,自由球員狀態,,0
men,林郅為,18,PLG,braves,https://pleagueofficial.com/player/286,active,local,,本土,C,200,105,1992/07/10,文化大學,加盟: 2024/07/18,,2024-25,,,,,PLG,steelers,36,3.8,1.8,0.3,複數年合約 加盟勇士,https://www.instagram.com/p/C9jHWRxTEqx/,
men,石博恩,23,PLG,braves,https://pleagueofficial.com/player/53,active,uba_import,2020Rookie,外籍生,F,198,95,1995/10/05,健行科大,加盟: 2020-21賽季,,2022-23,3年,1,,https://www.instagram.com/p/CgI9tC9vOWk/,,,,,,,,,
men,簡廷兆,24,PLG,braves,https://pleagueofficial.com/player/275,active,local,2022Rookie,本土,G,183,80,1998/01/16,健行科大,2022 PLG 選秀 - #6 順位,,2022-23,2+1年 (球隊選擇權),1,,https://www.instagram.com/p/Chtm6ItPP39/,,,,,,,,,
men,張鎮衙,27,PLG,braves,https://pleagueofficial.com/player/297,active,local,2022Rookie,本土,F,195,92,1999/10/13,政治大學,加盟: 2024/08/31,,2024-25,,,,,PLG,pilots,36,5.1,1.6,0.9,複數年合約 加盟勇士,https://www.instagram.com/p/C_UijfYTxtL/,
men,蔡鎮嶽,33,PLG,braves,https://pleagueofficial.com/player/361,active,local,2023Rookie,本土,F,197,93,2000/01/26,高雄師大,2023 PLG 選秀 - #6 順位,,2023-24,2+1年 (球隊選擇權),1+1,,https://www.instagram.com/p/CwFJ4TVPr4M/,,,,,,,,,
men,威希,55,PLG,braves,https://pleagueofficial.com/player/438,active,import,,洋將,C,213,109,1990/03/07,-,加盟: 2024/08/26,,2024-25,,,,,,,,,,,,,
men,莫巴耶,00,PLG,braves,https://pleagueofficial.com/player/439,active,uba_import,2024Rookie,外籍生,F,100,105,2001/01/01,政治大學,2024 PLG 選秀 - #1 順位,,2024-25,,,,,,,,,,,,,
men,陳昱瑞,2,PLG,pilots,https://pleagueofficial.com/player/219,active,local,,本土,G,185,81,1995/12/22,國立體大,加盟: 2021-22賽季,resigned,2024-25,5年,5,,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=3,PLG,pilots,37,3.2,1.7,1.3,續約 5年,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=3,
men,陳力生,3,PLG,pilots,https://pleagueofficial.com/player/440,active,local,2024Rookie,本土,G,175,68,2002/09/16,國立體大,2024 PLG 選秀 - #4 順位,,2024-25,,,,,,,,,,,,,
men,關達祐,6,PLG,pilots,https://pleagueofficial.com/player/58,active,local,2020Rookie,本土,G,182,77,1997/09/15,國立體大,加盟: 2020-21賽季,resigned,2024-25,5年,5,,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=2,PLG,pilots,38,2.5,1.5,1.7,續約 5年,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=2,
men,喬楚瑜,7,PLG,pilots,https://pleagueofficial.com/player/365,active,local,2023Rookie,本土,F,198,98,2000/09/28,輔仁大學,2023 PLG 選秀 - #2 順位,,2023-24,,,,,,,,,,,,,
men,林子洧,10,PLG,pilots,https://pleagueofficial.com/player/294,active,local,2022Rookie,本土,G,188,82,2000/05/12,高雄師大,2022 PLG 選秀 - #7 順位,,2022-23,,,,,,,,,,,,,
men,李家慷,12,PLG,pilots,https://pleagueofficial.com/player/218,active,local,,本土,G,186,85,1998/10/16,國立體大,加盟: 2021-22賽季,resigned,,5年,,提前續約,https://www.instagram.com/p/DAXzWTwz5Uy/,,,,,,,,,
men,丁恩迪,16,PLG,pilots,https://pleagueofficial.com/player/293,active,uba_import,2022Rookie,外籍生,C,206,110,1998/08/01,政治大學,2022 PLG 選秀 - #4 順位,,2022-23,,,,,,,,,,,,,
men,伯朗,21,PLG,pilots,https://pleagueofficial.com/player/252,active,import,,洋將,C,216,107,1992/07/23,-,加盟: 2023-24賽季,resigned,2024-25,,,,,,,,,,,,,
men,葛拉漢,24,PLG,pilots,https://pleagueofficial.com/player/411,active,import,,洋將,F,198,100,1993/10/28,-,加盟: 2023-24賽季,resigned,2024-25,,,,,,,,,,,,,
men,林正,25,PLG,pilots,https://pleagueofficial.com/player/64,active,local,2020Rookie,本土,C,205,107,2000/07/25,國立體大,加盟: 2020-21賽季,,2020-21,,,,,,,,,,,,,
men,白曜誠,30,PLG,pilots,https://pleagueofficial.com/player/298,active,local,2022Rookie,本土,G,182,77,1999/02/02,義守大學,2022 PLG 選秀 - #3 順位,,2022-23,,,,,,,,,,,,,
men,布依德,42,PLG,pilots,https://pleagueofficial.com/player/213,active,import,,洋將,F,201,110,1990/02/02,-,加盟: 2024/08/28,,2024-25,,,,,,,,,,,,,
men,瓊斯,45,PLG,pilots,https://pleagueofficial.com/player/464,active,import,,洋將,F,206,104,1990/05/27,-,加盟: 2024/08/14,,2024-25,,,,,,,,,,,,,
men,盧峻翔,69,PLG,pilots,https://pleagueofficial.com/player/226,active,local,2020Rookie,本土,G,188,88,1997/07/15,輔仁大學,加盟: 2021-22賽季,resigned,2024-25,5年,5,,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=1,PLG,pilots,37,16.8,4.1,3.3,續約 5年,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=1,
men,張志豪,2,PLG,ghosthawks,https://pleagueofficial.com/player/441,active,local,2024Rookie,本土,PG,176,70,2001/12/29,臺灣體大,2024 PLG 選秀 - #5 順位,,2024-25,,,,,,,,,,,,,
men,谷毛唯嘉,3,PLG,ghosthawks,https://pleagueofficial.com/player/442,active,local,2022Rookie,本土,PG,175,68,1999/12/04,健行科大,2022 T1 選秀 - R1 指名,resigned,2024-25,,,提前換約,,,,,,,,,,
men,翟蒙,4,PLG,ghosthawks,https://pleagueofficial.com/player/443,active,import,,洋將,PF,203,111,1992/05/28,-,加盟: 2024/08/06,,2024-25,,,,,,,,,,,,,
men,白薩,6,PLG,ghosthawks,https://pleagueofficial.com/player/444,active,uba_import,2022Rookie,外籍生,PG/SG,183,72,1997/10/30,宏國德霖,加盟: 2023-24賽季,resigned,2024-25,,,提前換約,,,,,,,,,,
men,种義仁,7,PLG,ghosthawks,https://pleagueofficial.com/player/453,active,taiwanese,,華裔,SG,187,84,2001/06/21,NCAA D3 Pacific,加盟: 2024/08/14,,2024-25,,,,,,,,,,,,,
men,李允傑,8,PLG,ghosthawks,https://pleagueofficial.com/player/445,active,local,2024Rookie,本土,SF,188,83,2000/08/21,政治大學,2024 PLG 選秀 - #2 順位,,2024-25,,,,,,,,,,,,,
men,飛雷神,11,PLG,ghosthawks,https://pleagueofficial.com/player/446,active,import,,洋將,PG,193,81,1992/07/23,-,加盟: 2024/08/11,,2024-25,,,,,,,,,,,,,
men,謝宗融,13,PLG,ghosthawks,https://pleagueofficial.com/player/274,active,local,,本土,C,199,98,1995/08/16,臺灣科大,加盟: 2024/08/20,,2024-25,,,,,PLG,braves,16,3.1,2.0,0.1,加盟 獵鷹,https://www.instagram.com/p/C-4VJ0PTqUI/,
men,蓋比,18,PLG,ghosthawks,https://pleagueofficial.com/player/1JhE0aVJ,active,uba_import,2022Rookie,外籍生,F,195,90,1997/12/15,萬能科大,加盟: 2024/12/13,,2024-25,,,,,SBL,beer,18,14.6,5.9,1.5,加盟 獵鷹,https://www.instagram.com/p/DDgSGJRTqdH/,
men,呂冠霆,21,PLG,ghosthawks,https://pleagueofficial.com/player/447,active,local,,本土,SF/PF,197,98,1992/10/13,臺灣藝大,加盟: 2022-23賽季,resigned,2024-25,,,提前換約,,,,,,,,,,
men,郭少傑,24,PLG,ghosthawks,https://pleagueofficial.com/player/47,active,local,,本土,SF/PF,192,84,1990/04/09,東南科大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,赤崁,27,PLG,ghosthawks,https://pleagueofficial.com/player/448,active,import,,洋將,C,211,125,1993/02/20,-,加盟: 2024/08/17,,2024-25,,,,,,,,,,,,,
men,韓杰諭,29,PLG,ghosthawks,https://pleagueofficial.com/player/449,active,local,2022Rookie,本土,SF/PF,193,95,1999/12/17,國立體大,2022 T1 選秀 - R1 指名,,2022-23,,,,,,,,,,,,,
men,鉑金,33,PLG,ghosthawks,https://pleagueofficial.com/player/450,active,import,,洋將,PF,203,115,1996/10/15,-,加盟: 2024/07/30,,2024-25,,,,,,,,,,,,,
men,劉駿霆,56,PLG,ghosthawks,https://pleagueofficial.com/player/451,active,local,2021Rookie,本土,SF,187,77,1999/03/31,健行科大,2021 T1 選秀 - R4 指名,,2024-25,,,,,,,,,,,,,
men,張博勝,68,PLG,ghosthawks,https://pleagueofficial.com/player/452,active,local,,本土,PG/SG,186,89,1987/02/02,臺灣藝大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,吳岱豪,54,PLG,ghosthawks,https://pleagueofficial.com/player/71,away,local,,本土,C,203,105,1985/02/07,臺灣師大,加盟: 2022-23賽季,,2023-24,,,,,,,,,,,,,
men,陳鈺安,0,PLG,steelers,https://pleagueofficial.com/player/462,active,local,2022Rookie,本土,F,192,90,2000/05/26,北市大學,加盟: 2024/09/16,,2024-25,,,,,T1,dea,2,0.0,0.0,0.0,加盟 鋼鐵人,https://www.instagram.com/p/C_95orbz_xJ/,
men,艾賽亞,1,PLG,steelers,https://pleagueofficial.com/player/463,active,import,,洋將,G,191,98,1996/04/13,-,加盟: 2024/09/09,,2024-25,,,,,,,,,,,,,
men,劉承彥,3,PLG,steelers,https://pleagueofficial.com/player/376,active,local,2023Rookie,本土,G,173,74,2001/07/08,義守大學,2023 PLG 選秀 - #8 順位,,2023-24,,,,,,,,,,,,,
men,李威廷,4,PLG,steelers,https://pleagueofficial.com/player/288,active,local,2022Rookie,本土,G,181,85,1999/10/03,世新大學,加盟: 2024/08/02,,2024-25,,,,,PLG,kings,19,4.6,1.0,0.6,加盟 鋼鐵人,https://www.instagram.com/p/C-J0Wnzzaqp/,
men,劉彥廷,7,PLG,steelers,https://pleagueofficial.com/player/454,active,local,2023Rookie,本土,F,196,98,2000/01/07,僑光科大,加盟: 2024/07/25,,2024-25,,,,,T1,mars,7,1.6,0.7,0.3,加盟 鋼鐵人,https://www.instagram.com/p/C91VCHaTPTG/,
men,林心翔,8,PLG,steelers,https://pleagueofficial.com/player/455,active,local,2024Rookie,本土,G,185,80,2001/04/09,臺灣師大,2024 PLG 選秀 - #10 順位,,2024-25,,,,,,,,,,,,,
men,莊朝勝,9,PLG,steelers,https://pleagueofficial.com/player/456,active,local,2024Rookie,本土,G,176,74,2003/02/09,政治大學,2024 PLG 選秀 - #6 順位,,2024-25,,,,,,,,,,,,,
men,普萊斯,11,PLG,steelers,https://pleagueofficial.com/player/465,active,import,,洋將,F,206,113,1996/07/29,-,加盟: 2024/10/25,,2024-25,,,,,,,,,,,,,
men,高瑋倫,13,PLG,steelers,https://pleagueofficial.com/player/457,active,local,2024Rookie,本土,G,185,78,2001/12/15,萬能科大,加盟: 2024/08/09,,2024-25,,,,,,,,,,,,,
men,陳范柏彥,23,PLG,steelers,https://pleagueofficial.com/player/270,active,local,2022Rookie,本土,F,193,95,2000/01/24,健行科大,交易 from 勇士: 2024/07/12,trade,2022-23,2+1年 (球隊選擇權),1,勇士 交易至 鋼鐵人,https://www.instagram.com/p/ChtmpARvJiy/,,,,,,,,,
men,喬迪,32,PLG,steelers,https://pleagueofficial.com/player/458,active,import,,洋將,C,211,122,1996/11/04,-,加盟: 2024/09/19,,2024-25,,,,,,,,,,,,,
men,丹尼爾,35,PLG,steelers,https://pleagueofficial.com/player/378,active,uba_import,2023Rookie,外籍生,C,207,102,2000/08/07,世新大學,2023 PLG 選秀 - #4 順位,,2023-24,,,,,,,,,,,,,
men,馬克斯,37,PLG,steelers,https://pleagueofficial.com/player/459,active,uba_import,2024Rookie,外籍生,F,198,97,2000/05/10,虎尾科大,2024 PLG 選秀 - #3 順位,,2024-25,,,,,,,,,,,,,
men,王凱裕,42,PLG,steelers,https://pleagueofficial.com/player/460,active,local,2024Rookie,本土,F,190,85,2002/01/11,政治大學,2024 PLG 選秀 - #7 順位,,2024-25,,,,,,,,,,,,,
men,威爾,62,PLG,steelers,https://pleagueofficial.com/player/00EyPr3Z,active,import,,洋將,F,203,100,1992/11/09,-,加盟: 2024/12/08,,2024-25,,,,,,,,,,,,,
men,朱育君,77,PLG,steelers,https://pleagueofficial.com/player/461,active,local,2024Rookie,本土,G,183,80,2000/11/22,高雄師大,2024 PLG 選秀 - #11 順位,,2024-25,,,,,,,,,,,,,
men,羅賓森,1,TPBL,mars,https://tpbl.basketball/players/2999,active,import,,洋將,SF/PF,208,107,1991/03/17,-,加盟: 2024/11/30,,2024-25,,,,,,,,,,,,,
men,麥卡倫,2,TPBL,mars,https://tpbl.basketball/players/3000,active,import,,洋將,PG/SG,190,86,1991/06/12,-,加盟: 2024/11/08,,2024-25,,,,,,,,,,,,,
men,丁聖儒,3,TPBL,mars,https://tpbl.basketball/players/1,active,local,2021Rookie,本土,PG,174,75,1998/08/22,NAIA St. Francis (III.),加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,江 均,6,TPBL,mars,https://tpbl.basketball/players/2,active,local,2024Rookie,本土,SF,193,93,2001/09/11,輔仁大學,2024 TPBL 選秀 - #6 順位,,2024-25,,,,,,,,,,,,,
men,陳文宏,8,TPBL,mars,https://tpbl.basketball/players/3,active,local,,本土,SF,188,98,1991/07/14,國立體大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,張兆辰,9,TPBL,mars,https://tpbl.basketball/players/4,active,local,2023Rookie,本土,PF,196,97,2000/09/02,臺灣師大,2023 T1 選秀 - #3 順位,,2023-24,,,,,,,,,,,,,
men,黃聰翰,11,TPBL,mars,https://tpbl.basketball/players/5,active,local,,本土,SF,193,96,1994/07/07,明道大學,交易 from 雲豹: 2023/07/12,trade,,,,雲豹 交易至 戰神,,,,,,,,,,
men,林宜輝,12,TPBL,mars,https://tpbl.basketball/players/6,active,local,,本土,PF,192,100,1986/03/24,臺灣師大,加盟: 2023-24賽季,,2023-24,2年,1,,https://sports.ettoday.net/news/2582609,,,,,,,,,
men,米勒,13,TPBL,mars,https://tpbl.basketball/players/16,active,import,,洋將,SF,201,95,1993/03/06,-,加盟: 2024/09/07,,2024-25,,,,,,,,,,,,,
men,赫里斯-傑佛森,15,TPBL,mars,,active,import,,洋將,F,198,-,1991/06/26,-,加盟: 2024/12/23,,2024-25,,,,,,,,,,,,,
men,錢肯尼,23,TPBL,mars,https://tpbl.basketball/players/14,active,taiwanese,,華裔,SG,186,88,1995/02/06,NJCAA Broward,加盟: 2024/07/31,,2024-25,,,,,PLG,dreamers,35,4.5,1.8,1.4,加盟 戰神,https://www.instagram.com/p/C-E5a9Czerc/,
men,王律翔,24,TPBL,mars,https://tpbl.basketball/players/8,active,local,2021Rookie,本土,SG,181,80,1997/12/21,中州科大,加盟: 2024/08/01,,2024-25,,,,,PLG,steelers,39,7.0,1.6,0.8,加盟 戰神,https://www.instagram.com/p/C-HzgWpToas/,
men,張耕淯,29,TPBL,mars,https://tpbl.basketball/players/9,active,local,,本土,SG,188,88,1995/10/16,臺灣體大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,雷蒙恩,33,TPBL,mars,https://tpbl.basketball/players/10,active,local,2024Rookie,本土,PG/SG,197,91,2000/09/24,NCAA D1 UC Davis,2024 TPBL 選秀 - #1 順位,,2024-25,,,,,,,,,,,,,
men,蘇奕晉,41,TPBL,mars,https://tpbl.basketball/players/11,active,local,,本土,PF,195,95,1993/12/29,明道大學,加盟: 2024/07/12,,2024-25,,,,,T1,ghosthawks,20,5.3,2.4,1.6,加盟 戰神,https://www.instagram.com/p/C9UGBFXzLjr/,
men,艾力克,50,TPBL,mars,https://tpbl.basketball/players/3001,active,import,,洋將,C,210,109,1988/06/24,-,加盟: 2024/11/08,,2024-25,,,,,,,,,,,,,
men,曹薰襄,57,TPBL,mars,https://tpbl.basketball/players/12,active,local,2022Rookie,本土,SG,181,81,1999/03/16,臺灣藝大,加盟: 2023-24賽季,,2023-24,,1,合約年,,,,,,,,,,
men,陳冠全,62,TPBL,mars,https://tpbl.basketball/players/13,active,local,,本土,C,197,105,1993/12/30,國立體大,加盟: 2024/07/05,,2024-25,,,,,PLG,steelers,35,2.2,1.9,0.7,加盟 戰神,https://www.instagram.com/p/C9B9QhIyk-K/,
men,林秉聖,-,TPBL,mars,https://www.cbaleague.com/data/#/playerMain?playerId=100024772,away,local,,本土,-,184,77,1996/12/26,文化大學,加盟: 2023-24賽季,,2023-24,3年,2,行使旅外條款,https://www.instagram.com/p/C86BYiGypua/,,,,,,,,,
men,孫思堯,20,TPBL,mars,https://tpbl.basketball/players/7,away,local,2020Rookie,本土,C,203,105,1997/10/03,NCAA D2 NYIT,加盟: 2023-24賽季,,2023-24,,,旅日一賽季,https://www.instagram.com/p/DClFNMhz0XJ/,,,,,,,,,
men,李睿麒,1,TPBL,dea,https://tpbl.basketball/players/35,active,local,,本土,SF/PF,193,87,1993/01/07,首府大學,加盟: 2024/08/02,,2024-25,1+1年,1+1,,https://www.instagram.com/p/C-KMH95zjHa/,PLG,steelers,15,4.1,2.9,0.4,1+1年合約 加盟特攻,https://www.instagram.com/p/C-KMH95zjHa/,
men,劉人豪,2,TPBL,dea,https://tpbl.basketball/players/36,active,local,,本土,PG,175,70,1995/11/10,健行科大,加盟: 2022-23賽季,,2022-23,1年,,,https://www.instagram.com/p/CjRxEBbPr7f/,,,,,,,,,
men,劉旻諺,4,TPBL,dea,https://tpbl.basketball/players/37,active,local,2021Rookie,本土,SF/PF,195,85,1999/12/04,高雄師大,2021 T1 選秀 - R4 指名,,2021-22,,,,,,,,,,,,,
men,余維豪,5,TPBL,dea,https://tpbl.basketball/players/38,active,local,2024Rookie,本土,PG,174,70,2001/10/24,臺灣藝大,2024 TPBL 選秀 - #5 順位,,2024-25,,,,,,,,,,,,,
men,魏嘉豪,7,TPBL,dea,https://tpbl.basketball/players/39,active,local,2021Rookie,本土,PG,182,78,2000/01/13,輔仁大學,2021 T1 選秀 - R2 指名,resigned,2024-25,2年,2,,https://www.instagram.com/p/C9ek6ldza-g/,T1,dea,27,3.5,1.3,1.9,續約 2年,https://www.instagram.com/p/C9ek6ldza-g/,
men,德芬,8,TPBL,dea,https://tpbl.basketball/players/4986,active,import,,洋將,SF/PF,200,104,1997/05/01,-,加盟: 2024/12/12,,2024-25,,,,,,,,,,,,,
men,克力斯,9,TPBL,dea,https://tpbl.basketball/players/51,active,import,,洋將,C,208,111,1990/12/28,-,加盟: 2022-23賽季,resigned,2024-25,,,,,,,,,,,,,
men,謝亞軒,10,TPBL,dea,https://tpbl.basketball/players/40,active,local,2021Rookie,本土,SG,187,81,1998/10/30,健行科大,2021 T1 選秀 - R1 指名,,2021-22,2+1年 (球員選擇權),0,,https://today.line.me/tw/v2/article/BE8wRe6,,,,,,,,,
men,周承睿,11,TPBL,dea,https://tpbl.basketball/players/41,active,local,2021Rookie,本土,PF,193,82,2000/02/24,文化大學,2021 T1 選秀 - R5 指名,,2021-22,,,,,,,,,,,,,
men,林韋翰,16,TPBL,dea,https://tpbl.basketball/players/43,active,local,,本土,PG,180,71,1990/07/09,輔仁大學,加盟: 2021-22賽季,,2021-22,3年,1,,https://sports.ettoday.net/news/2211173,,,,,,,,,
men,黃泓瀚,22,TPBL,dea,https://tpbl.basketball/players/44,active,local,,本土,SF/PF,192,92,1994/10/15,健行科大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,葛瑞飛,25,TPBL,dea,https://tpbl.basketball/players/53,active,import,,洋將,PF,203,107,1998/04/30,-,加盟: 2024/08/06,,2024-25,,,,,,,,,,,,,
men,施晉堯,28,TPBL,dea,https://tpbl.basketball/players/45,active,local,,本土,SG,188,86,1990/10/28,文化大學,加盟: 2024/07/18,,2024-25,,,,,PLG,steelers,32,7.0,2.7,2.6,複數年合約 加盟特攻,https://www.instagram.com/p/C9jaEU2TY_a/,
men,柯南,33,TPBL,dea,https://tpbl.basketball/players/1859,active,import,,洋將,PG,185,85,1995/07/16,-,加盟: 2024/11/04,,2024-25,,,,,,,,,,,,,
men,徐宇煇,34,TPBL,dea,https://tpbl.basketball/players/46,active,local,2024Rookie,本土,PG/SG,182,93,2001/10/13,國立體大,加盟: 2024/09/25,,2024-25,1年,1,,https://www.instagram.com/p/DAVZW6zT1L1/,,,,,,,,,
men,林孟學,37,TPBL,dea,https://tpbl.basketball/players/59,active,local,,本土,SF/PF,195,92,1992/10/14,國立體大,交易 from 雲豹: 2024/12/02,,2024-25,,,,,PLG,braves,5,2.6,1.6,0.4,加盟 雲豹,https://www.instagram.com/p/DAXlLzIhSHF/,
men,奈森,55,TPBL,dea,https://tpbl.basketball/players/4851,active,import,,洋將,SF/PF,213,111,1996/12/05,-,加盟: 2024/12/17,,2024-25,,,,,,,,,,,,,
men,曾文鼎,76,TPBL,dea,https://tpbl.basketball/players/47,active,local,,本土,C,204,98,1984/07/06,北市大學,加盟: 2022-23賽季,,2022-23,3年,1,,https://www.instagram.com/p/CjH9gCtPX8y/,,,,,,,,,
men,李沛澄,77,TPBL,dea,https://tpbl.basketball/players/48,active,local,2023Rookie,本土,PG/SG,181,79,2000/10/25,輔仁大學,2023 T1 選秀 - #6 順位,,2023-24,,,,,,,,,,,,,
