0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,22,23,24,25,26,27,28
性別,球員,#,聯盟,球隊,連結,現役,身份,新秀,聯盟身份,位置,身高,體重,生日,學歷,入隊方式,前球隊,class,合約,,剩餘年限,備注,連結,,自由球員,GP,PPG,RPG,APG
men,石博恩,23,PLG,braves,https://pleagueofficial.com/player/53,active,uba_import,2020Rookie,外籍生,F,198,98,1995/10/05,健行科大,加盟: 2020-21賽季 (新秀),,,2022-23,3年,1,,續約3年,https://www.instagram.com/p/CgI9tC9vOWk/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,,,,,
men,簡廷兆,24,PLG,braves,https://pleagueofficial.com/player/275,active,local,2022Rookie,本土,G,183,80,1998/01/16,健行科大,2022 PLG 選秀 - #6 順位,,2022Draft,2022-23,2+1年 (球隊選擇權),0+1,,新秀合約,https://www.instagram.com/p/Chtm6ItPP39/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,,,,,
men,蔡鎮嶽,33,PLG,braves,https://pleagueofficial.com/player/361,active,local,2023Rookie,本土,F,197,93,2000/01/26,高雄師大,2023 PLG 選秀 - #6 順位,,2023Draft,2023-24,2+1年 (球隊選擇權),1+1,,新秀合約,https://www.instagram.com/p/CwFJ4TVPr4M/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,,,,,
men,莫巴耶,00,PLG,braves,,active,uba_import,2024Rookie,外籍生,F,205,105,2001/01/01,政治大學,2024 PLG 選秀 - #1 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,周儀翔,0,PLG,pilots,https://pleagueofficial.com/player/262,active,local,,本土,F,191,99,1991/02/04,NJCAA Salt Lake,交易 from 鋼鐵人: 2023/06/19,,,,3+2年 (球隊選擇權),,,延長3+2年,https://www.instagram.com/p/CwwmxxjP3K4/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,,,,,
men,丁恩迪,1,PLG,pilots,https://pleagueofficial.com/player/293,active,uba_import,2022Rookie,外籍生,C,206,110,1998/08/01,政治大學,2022 PLG 選秀 - #4 順位,,2022Draft,2022-23,22' 新秀合約,,,,,,,,,
men,陳昱瑞,2,PLG,pilots,https://pleagueofficial.com/player/219,active,local,,本土,G,185,81,1995/12/22,國立體大,加盟: 2021-22賽季,,extension,2024-25,5年,5,,續約5年,https://www.instagram.com/p/C8_XoZgS-m1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,已續約,37,3.2,1.7,1.3
men,陳力生,3,PLG,pilots,,active,local,2024Rookie,本土,G,175,68,2002/09/16,國立體大,2024 PLG 選秀 - #4 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,關達祐,6,PLG,pilots,https://pleagueofficial.com/player/58,active,local,2020Rookie,本土,G,182,77,1997/09/15,國立體大,加盟: 2020-21賽季 (新秀),,extension,2024-25,5年,5,,續約5年,https://www.instagram.com/p/C8_XoZgS-m1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,已續約,38,2.5,1.5,1.7
men,喬楚瑜,7,PLG,pilots,https://pleagueofficial.com/player/365,active,local,2023Rookie,本土,F,198,98,2000/09/28,輔仁大學,2023 PLG 選秀 - #2 順位,,2023Draft,2023-24,23' 新秀合約,,,,,,,,,
men,林子洧,10,PLG,pilots,https://pleagueofficial.com/player/294,active,local,2022Rookie,本土,G,188,82,2000/05/12,高雄師大,2022 PLG 選秀 - #7 順位,,2022Draft,2022-23,22' 新秀合約,,,,,,,,,
men,李家慷,12,PLG,pilots,https://pleagueofficial.com/player/218,active,local,,本土,G,185,85,1998/10/16,國立體大,加盟: 2021-22賽季,,,2021-22,,,,,,,,,,
men,伯朗,21,PLG,pilots,https://pleagueofficial.com/player/252,active,import,,洋將,C,216,107,1992/07/23,-,加盟: 2023-24賽季,,extension,2024-25,,,,,,,,,,
men,葛拉漢,24,PLG,pilots,https://pleagueofficial.com/player/411,active,import,,洋將,F,198,100,1993/10/28,-,加盟: 2023-24賽季,,extension,2024-25,,,,,,,,,,
men,林正,25,PLG,pilots,https://pleagueofficial.com/player/64,active,local,2020Rookie,本土,C,205,107,2000/07/25,國立體大,加盟: 2020-21賽季 (新秀),,,2020-21,,,,,,,,,,
men,白曜誠,30,PLG,pilots,https://pleagueofficial.com/player/298,active,local,2022Rookie,本土,G,182,77,1999/02/02,義守大學,2022 PLG 選秀 - #3 順位,,2022Draft,2022-23,22' 新秀合約,,,,,,,,,
men,盧峻翔,69,PLG,pilots,https://pleagueofficial.com/player/226,active,local,2020Rookie,本土,G,188,82,1997/07/15,輔仁大學,加盟: 2021-22賽季,,extension,2024-25,5年,5,,續約5年,https://www.instagram.com/p/C8_XoZgS-m1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,已續約,37,16.8,4.1,3.3
men,李允傑,,PLG,ghosthawks,,active,local,2024Rookie,本土,G,190,84,2000/08/21,政治大學,2024 PLG 選秀 - #2 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,張志豪,,PLG,ghosthawks,,active,local,2024Rookie,本土,G,176,70,2001/12/29,臺灣體大,2024 PLG 選秀 - #5 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,劉駿霆,,PLG,ghosthawks,https://www.bleague.jp/roster_detail/?PlayerID=51000324,active,local,2021Rookie,本土,F,187,75,1999/03/31,健行科大,2021 T1 選秀 - R4 指名,B2 青森,,2024-25,,,,,,,,,,
men,谷毛唯嘉,3,PLG,ghosthawks,https://ghosthawks.tw/team/149,active,local,2022Rookie,本土,G,175,68,1999/12/04,健行科大,2022 T1 選秀 - R1 指名,,extension,2024-25,,,,,,已續約,27,9.6,1.5,3.7
men,翟蒙,4,PLG,ghosthawks,,active,import,,洋將,F,203,111,1992/05/28,-,加盟: 2024/08/06,,,2024-25,,,,,,,,,,
men,白薩,6,PLG,ghosthawks,https://ghosthawks.tw/team/122,active,uba_import,2022Rookie,外籍生,G,183,75,1997/10/30,宏國德霖,加盟: 2023-24賽季,,,2023-24,,,特案外籍生,特案,https://t1league.basketball/announcements/779/2022.9.18%E8%81%AF%E7%9B%9F%E5%85%AC%E5%91%8A,,,,,
men,吳彥侖,9,PLG,ghosthawks,https://sleague.tw/player/oldRoster/7020,away,local,,本土,G,182,72,1997/06/18,義守大學,加盟: 2022-23賽季,,,2023-24,,,租借至 SBL裕隆,租借,https://tw.sports.yahoo.com/news/sbl%E8%A3%95%E9%9A%86%E7%B0%BD%E8%B3%AD%E6%A1%88%E6%88%B0%E5%8A%9B%E5%A4%A7%E5%82%B7-t1%E7%8D%B5%E9%B7%B9%E6%9A%96%E5%BF%83%E4%BA%A4%E6%B5%81%E9%80%81%E5%87%BA4%E5%90%8D%E7%90%83%E5%93%A1-073018186.html,,,,,
men,胡凱翔,12,PLG,ghosthawks,https://ghosthawks.tw/team/151,active,local,,本土,F,190,93,1991/05/16,文化大學,加盟: 2022-23賽季,,,2022-23,,,,,,,,,,
men,吳宏興,18,PLG,ghosthawks,https://ghosthawks.tw/team/145,active,local,,本土,C,202,96,1989/10/21,HBL 新榮高中,加盟: 2022-23賽季,,,2022-23,,,,,,,,,,
men,呂冠霆,21,PLG,ghosthawks,https://ghosthawks.tw/team/147,active,local,,本土,F,197,100,1992/10/13,臺灣藝大,加盟: 2022-23賽季,,,2022-23,,,,,,,,,,
men,高承恩,22,PLG,ghosthawks,https://sleague.tw/player/oldRoster/7021,away,local,2022Rookie,本土,G,175,75,1999/12/23,健行科大,加盟: 2023-24賽季,,,2023-24,,,租借至 SBL裕隆,租借,https://tw.sports.yahoo.com/news/sbl%E8%A3%95%E9%9A%86%E7%B0%BD%E8%B3%AD%E6%A1%88%E6%88%B0%E5%8A%9B%E5%A4%A7%E5%82%B7-t1%E7%8D%B5%E9%B7%B9%E6%9A%96%E5%BF%83%E4%BA%A4%E6%B5%81%E9%80%81%E5%87%BA4%E5%90%8D%E7%90%83%E5%93%A1-073018186.html,,,,,
men,郭少傑,24,PLG,ghosthawks,https://ghosthawks.tw/team/204,active,local,,本土,F,190,84,1990/04/09,東南科大,加盟: 2023-24賽季,,,2023-24,,,,,,,,,,
men,藍少甫,25,PLG,ghosthawks,https://sleague.tw/player/oldRoster/626,active,local,2021Rookie,本土,F,195,100,1997/03/21,國立體大,加盟: 2023-24賽季,yulon,,2023-24,,,,,,,,,,
men,韓杰諭,29,PLG,ghosthawks,https://ghosthawks.tw/team/153,active,local,2022Rookie,本土,F,194,95,1999/12/17,國立體大,2022 T1 選秀 - R1 指名,,2022Draft,2022-23,22' 新秀合約,,,,,,,,,
men,鉑金,33,PLG,ghosthawks,,active,import,,洋將,F,203,115,1996/10/15,-,加盟: 2024/07/30,,,2024-25,,,,,,,,,,
men,吳岱豪,54,PLG,ghosthawks,https://sleague.tw/player/oldRoster/42,active,local,,本土,C,203,108,1985/02/07,臺灣師大,加盟: 2022-23賽季,yulon,,2023-24,,,,,,,,,,
men,張博勝,68,PLG,ghosthawks,https://ghosthawks.tw/team/205,active,local,,本土,G,185,82,1987/02/02,臺灣藝大,加盟: 2023-24賽季,,,2023-24,,,,,,,,,,
men,馬克斯,,PLG,steelers,,active,uba_import,2024Rookie,外籍生,F,198,98,2000/05/10,虎尾科大,2024 PLG 選秀 - #3 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,莊朝勝,,PLG,steelers,,active,local,2024Rookie,本土,G,178,75,2003/02/09,政治大學,2024 PLG 選秀 - #6 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,王凱裕,,PLG,steelers,,active,local,2024Rookie,本土,G,190,83,2002/01/11,政治大學,2024 PLG 選秀 - #7 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,林心翔,,PLG,steelers,,active,local,2024Rookie,本土,G,185,80,2001/04/09,臺灣師大,2024 PLG 選秀 - #10 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,朱育君,,PLG,steelers,,active,local,2024Rookie,本土,G,183,80,2000/11/22,高雄師大,2024 PLG 選秀 - #11 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,陳范柏彥,,PLG,steelers,https://pleagueofficial.com/player/270,active,local,2022Rookie,本土,G,196,90,2000/01/24,健行科大,交易 from 勇士: 2024/07/12,braves,2022Draft trade,2022-23,2+1年 (球隊選擇權),0+1,,新秀合約,https://www.instagram.com/p/ChtmpARvJiy/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,,,,,
men,劉彥廷,,PLG,steelers,https://taipeimars.com.tw/team/187,active,local,2023Rookie,本土,F,196,96,2000/01/07,僑光科大,加盟: 2024/07/25,mars,,2024-25,,,,,,完成簽約,7,1.6,0.7,0.3
men,李威廷,,PLG,steelers,https://pleagueofficial.com/player/288,active,local,2022Rookie,本土,G,181,80,1999/10/03,世新大學,加盟: 2024/08/02,kings,,2024-25,,,,,,完成簽約,19,4.6,1.0,0.6
men,高瑋倫,,PLG,steelers,,active,local,2024Rookie,本土,G,183,76,2001/12/15,萬能科大,加盟: 2024/08/09,,,2024-25,,,,,,,,,,
men,劉承彥,2,PLG,steelers,https://pleagueofficial.com/player/376,active,local,2023Rookie,本土,G,172,73,2001/07/08,義守大學,2023 PLG 選秀 - #8 順位,,2023Draft,2023-24,23' 新秀合約,,,,,,,,,
men,丹尼爾,35,PLG,steelers,https://pleagueofficial.com/player/378,active,uba_import,2023Rookie,外籍生,C,208,96,2000/08/07,世新大學,2023 PLG 選秀 - #4 順位,,2023Draft,2023-24,23' 新秀合約,,,,,,,,,
men,林秉聖,-,TPBL,mars,https://taipeimars.com.tw/team/11,away,local,,本土,G,184,77,1996/12/26,文化大學,加盟: 2023-24賽季,,,2023-24,3年,2,行使旅外條款,3年合約,https://www.instagram.com/p/C86BYiGypua/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,,
men,丁聖儒,3,TPBL,mars,https://taipeimars.com.tw/team/31,active,local,2021Rookie,本土,G,174,75,1998/08/22,NAIA St. Francis (III.),加盟: 2023-24賽季,,,2023-24,,,,,,,,,,
men,江 均,6,TPBL,mars,,active,local,2024Rookie,本土,F,193,93,2001/09/11,輔仁大學,2024 TPBL 選秀 - #6 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,陳文宏,8,TPBL,mars,https://taipeimars.com.tw/team/35,active,local,,本土,F,188,98,1991/07/14,國立體大,加盟: 2023-24賽季,,,2023-24,,,,,,,,,,
men,張兆辰,9,TPBL,mars,https://taipeimars.com.tw/team/188,active,local,2023Rookie,本土,F,196,97,2000/09/02,臺灣師大,2023 T1 選秀 - #3 順位,,2023Draft,2023-24,23' 新秀合約,,,,,,,,,
men,黃聰翰,11,TPBL,mars,https://taipeimars.com.tw/team/3,active,local,,本土,F,193,96,1994/07/07,明道大學,交易 from 雲豹: 2023/07/12,,trade,,未知,,,,,,,,,
men,林宜輝,12,TPBL,mars,https://taipeimars.com.tw/team/164,active,local,,本土,F,192,100,1986/03/24,臺灣師大,加盟: 2023-24賽季,,,2023-24,2年,1,,2年合約,https://sports.ettoday.net/news/2582609,,,,,
men,奧利佛,15,TPBL,mars,,active,import,,洋將,F,203,,1992/07/02,-,加盟: 2024/08/03,,,2024-25,,,,,,,,,,
men,孫思堯,20,TPBL,mars,https://taipeimars.com.tw/team/39,active,local,2020Rookie,本土,C,203,105,1997/10/03,NCAA D2 NYIT,加盟: 2023-24賽季,,,2023-24,,,,,,,,,,
men,錢肯尼,23,TPBL,mars,https://pleagueofficial.com/player/149,active,taiwanese,,華裔,G,186,88,1995/02/06,NJCAA Broward,加盟: 2024/07/31,dreamers,,2024-25,,,,,,完成簽約,35,4.5,1.8,1.4
men,王律翔,24,TPBL,mars,https://pleagueofficial.com/player/211,active,local,2021Rookie,本土,G,184,83,1997/12/21,中州科大,加盟: 2024/08/01,steelers,,2024-25,,,,,,完成簽約,39,7.0,1.6,0.8
men,張耕淯,29,TPBL,mars,https://taipeimars.com.tw/team/190,active,local,,本土,G,188,88,1995/10/16,臺灣體大,加盟: 2023-24賽季,,,2023-24,,,,,,,,,,
men,雷蒙恩,33,TPBL,mars,,active,local,2024Rookie,本土,G,197,91,2001/09/24,NCAA D1 UC Davis,2024 TPBL 選秀 - #1 順位,,2024Draft,2024-25,24' 新秀合約,,,,,,,,,
men,蘇奕晉,41,TPBL,mars,https://ghosthawks.tw/team/38,active,local,,本土,F,196,105,1993/12/29,明道大學,加盟: 2024/07/12,ghosthawks,,2024-25,,,,,,完成簽約,20,5.3,2.4,1.6
men,曹薰襄,57,TPBL,mars,https://taipeimars.com.tw/team/134,active,local,2022Rookie,本土,G,181,81,1999/03/16,臺灣藝大,加盟: 2023-24賽季,,,2023-24,,,,,,,,,,
men,陳冠全,62,TPBL,mars,https://pleagueofficial.com/player/67,active,local,,本土,C,197,110,1993/12/30,國立體大,加盟: 2024/07/05,steelers,,2024-25,,,,,,完成簽約,35,2.2,1.9,0.7
men,林書緯,1,TPBL,kings,https://pleagueofficial.com/player/41,active,taiwanese,,華裔,G,185,73,1992/06/21,NCAA D3 Hamilton,交易 from 勇士: 2022/08/08,,,2022-23,,,,,,,,,,
men,蘇培凱,2,TPBL,kings,https://pleagueofficial.com/player/380,active,local,2023Rookie,本土,F,187,83,1999/11/02,臺灣藝大,2023 PLG 選秀 - #5 順位,,2023Draft,2023-24,23' 新秀合約,,,,,,,,,
men,陳俊男,3,TPBL,kings,https://pleagueofficial.com/player/232,active,local,2021Rookie,本土,F,190,90,2000/04/20,國立體大,2021 PLG 選秀 - #3 順位,,,2023-24,,,,提前續約,https://www.instagram.com/p/CvHEZXCLa6M/?utm_source=ig_web_copy_link,,,,,
men,強森,5,TPBL,kings,https://pleagueofficial.com/player/269,active,import,,洋將,C,211,105,1985/07/17,-,加盟: 2024/07/24,braves,,2024-25,,,,,,,,,,
men,林書豪,7,TPBL,kings,https://pleagueofficial.com/player/354,active,taiwanese,,華裔,G,192,95,1988/08/23,NCAA D1 Harvard,加盟: 2023-24賽季,,,2023-24,1+1年 (球員選擇權),0+1,,1+1年合約,https://www.instagram.com/p/CxXnALWPVx7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,,
men,李愷諺,9,TPBL,kings,https://pleagueofficial.com/player/233,active,local,,本土,G,182,80,1993/05/06,醒吾科大,加盟: 2021-22賽季,,extension,2024-25,3年,3,,續約3年,https://www.instagram.com/p/C9jQqHZv06I/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,,
men,簡祐哲,10,TPBL,kings,https://pleagueofficial.com/player/234,active,local,,本土,G,180,80,1995/09/10,健行科大,加盟: 2021-22賽季,,,2023-24,,,,提前續約,https://www.instagram.com/p/CuqqZqyLj1M/?utm_source=ig_web_copy_link,,,,,
men,王柏智,11,TPBL,kings,https://pleagueofficial.com/player/89,active,local,,本土,F,195,130,1996/10/29,國立體大,加盟: 2023-24賽季,,,2023-24,,,,,,,,,,
men,呂政儒,13,TPBL,kings,https://pleagueofficial.com/player/208,active,local,,本土,F,194,93,1986/04/13,文化大學,加盟: 2024/07/15,steelers,,2024-25,,,,,,完成簽約,11,12.9,2.7,2.8
men,蘇士軒,17,TPBL,kings,https://pleagueofficial.com/player/290,active,local,2020Rookie,本土,F,197,95,1996/04/09,臺灣師大,加盟: 2023-24賽季,,extension,2024-25,,,,,,已續約,35,5.5,4.1,0.8
men,林金榜,19,TPBL,kings,https://pleagueofficial.com/player/263,active,local,,本土,F,190,90,1985/06/15,臺灣體大,加盟: 2022-23賽季,,,2022-23,,,,,,,,,,
men,洪志善,24,TPBL,kings,https://pleagueofficial.com/player/237,active,local,,本土,G,176,75,1985/07/05,臺北科大,加盟: 2021-22賽季,,,2023-24,2年,1,,2年合約,https://youtu.be/0_EQN9t68-E?si=A0aQETF57LeM_fdV&t=220,,,,,
men,奧帝,25,TPBL,kings,https://pleagueofficial.com/player/341,active,import,,洋將,F,207,91,1988/06/05,-,加盟: 2023-24賽季,,extension,2024-25,,,,,,,,,,
men,沃許本,42,TPBL,kings,https://pleagueofficial.com/player/299,active,import,,洋將,C,213,111,1990/06/05,-,加盟: 2024/08/01,pilots,,2024-25,,,,,,,,,,
men,戴維斯,50,TPBL,kings,https://pleagueofficial.com/player/69,active,naturalized,,本土,C,203,100,1983/02/16,-,加盟: 2021-22賽季,,,2021-22,,0,,合約年,https://www.nownews.com/news/6432833,,,,,
men,曼尼高,55,TPBL,kings,https://pleagueofficial.com/player/337,active,import,,洋將,G,196,95,1991/05/22,-,加盟: 2022-23賽季,,extension,2024-25,,,,,,,,,,
men,林力仁,72,TPBL,kings,https://pleagueofficial.com/player/76,active,local,,本土,G,183,85,1990/06/16,明道大學,加盟: 2021-22賽季,,,2023-24,,,,,,,,,,
men,余維豪,,TPBL,dea,,active,local,2024Rookie,本土,G,173,70,2001/10/24,臺灣藝大,2024 TPBL 選秀 - #5 順位,,,,,,,,,,,,,
men,曾銘偉,,TPBL,dea,,active,local,2024Rookie,本土,C,202,92,2002/02/19,義守大學,2024 TPBL 選秀 - #11 順位,,,,,,,,,,,,,
men,浩勝,,TPBL,dea,,active,import,,洋將,C,206,100,1998/02/27,-,加盟: 2024/08/01,,,2024-25,,,,,,,,,,
men,李睿麒,,TPBL,dea,https://pleagueofficial.com/player/230,active,local,,本土,F,193,87,1993/01/07,首府大學,加盟: 2024/08/02,steelers,,2024-25,1+1年,1+1,,1+1年合約,https://www.instagram.com/p/C-KMH95zjHa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,完成簽約,15,4.1,2.9,0.4
men,劉人豪,2,TPBL,dea,https://ctbcdea.com.tw/team/94,active,local,,本土,G,175,70,1995/11/10,健行科大,加盟: 2022-23賽季,,,2022-23,1年,,,1年合約,https://www.instagram.com/p/CjRxEBbPr7f/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,,,,,
men,劉旻諺,4,TPBL,dea,https://ctbcdea.com.tw/team/18,active,local,2021Rookie,本土,F,195,85,1999/12/04,高雄師大,2021 T1 選秀 - R4 指名,,2021Draft,2021-22,21' 新秀合約,,,,,,,,,
men,魏嘉豪,7,TPBL,dea,https://ctbcdea.com.tw/team/12,active,local,2021Rookie,本土,G,182,78,2000/01/13,輔仁大學,2021 T1 選秀 - R2 指名,,extension,2024-25,2年,2,,續約2年,https://www.instagram.com/p/C9ek6ldza-g/?utm_source=ig_web_copy_link,已續約,27,3.5,1.3,1.9
men,克力斯,9,TPBL,dea,https://ctbcdea.com.tw/team/119,active,import,,洋將,C,208,111,1990/12/28,-,加盟: 2022-23賽季,,extension,2024-25,,,,,,,,,,
men,謝亞軒,10,TPBL,dea,https://ctbcdea.com.tw/team/15,active,local,2021Rookie,本土,G,187,81,1998/10/30,健行科大,2021 T1 選秀 - R1 指名,,2021Draft,2021-22,2+1年 (球員選擇權),0,,2+1年合約,https://today.line.me/tw/v2/article/BE8wRe6,,,,,
men,周承睿,11,TPBL,dea,https://ctbcdea.com.tw/team/19,active,local,2021Rookie,本土,F,193,82,2000/02/24,文化大學,2021 T1 選秀 - R5 指名,,2021Draft,2021-22,21' 新秀合約,,,,,,,,,
men,譚傑龍,12,TPBL,dea,https://ctbcdea.com.tw/team/20,active,local,2020Rookie,本土,F,203,105,2000/06/02,NAIA UBC,加盟: 2021-22賽季,,,2021-22,,,,,,,,,,
