0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
league,game,date,w-team,home/road,q1,q2,q3,q4,ot,total,l-team,home/road,q1,q2,q3,q4,ot,total
wsbl,g54,2024/4/14,cathay,-,23,19,20,16,-,78,taiyuen,-,19,16,22,19,-,76
wsbl,g53,2024/4/14,telecom,-,11,17,15,13,-,56,power,-,13,16,12,10,-,51
wsbl,g52,2024/4/13,cathay,-,26,19,28,22,-,95,telecom,-,9,20,17,12,-,58
wsbl,g51,2024/4/13,taiyuen,-,18,18,27,20,-,83,power,-,24,17,13,11,-,65
wsbl,g50,2024/4/12,cathay,-,24,16,19,25,-,84,power,-,23,10,29,11,-,73
wsbl,g49,2024/4/12,taiyuen,-,17,21,9,14,-,61,telecom,-,14,23,11,9,-,57
wsbl,g48,2024/4/7,cathay,-,28,18,26,14,-,86,taiyuen,-,23,4,15,15,-,57
wsbl,g47,2024/4/7,power,-,18,14,11,23,-,66,telecom,-,10,17,10,14,-,51
wsbl,g46,2024/4/6,taiyuen,-,18,14,22,18,-,72,power,-,15,14,14,6,-,49
wsbl,g45,2024/4/6,cathay,-,21,15,20,17,-,73,telecom,-,18,10,14,11,-,53
wsbl,g44,2024/4/5,taiyuen,-,23,18,21,19,-,81,telecom,-,20,20,14,13,-,67
wsbl,g43,2024/4/5,cathay,-,24,10,22,16,-,72,power,-,17,12,17,17,-,63
wsbl,g42,2024/3/31,taiyuen,-,20,25,22,10,-,77,cathay,-,22,27,19,7,-,75
wsbl,g41,2024/3/31,telecom,-,21,22,22,10,-,75,power,-,20,21,12,18,-,71
wsbl,g40,2024/3/30,taiyuen,-,26,17,20,8,-,71,power,-,17,13,10,20,-,60
wsbl,g39,2024/3/30,cathay,-,22,16,25,13,-,76,telecom,-,14,29,16,13,-,72
wsbl,g38,2024/3/29,taiyuen,-,21,18,25,23,-,87,telecom,-,10,17,9,15,-,51
wsbl,g37,2024/3/29,cathay,-,18,22,28,19,-,87,power,-,23,20,10,13,-,66
wsbl,g36,2024/3/24,cathay,-,24,17,14,16,-,71,taiyuen,-,18,15,18,16,-,67
wsbl,g35,2024/3/24,power,-,19,25,19,20,-,83,telecom,-,15,16,17,15,-,63
wsbl,g34,2024/3/23,taiyuen,-,20,13,30,14,-,77,telecom,-,9,15,14,11,-,49
wsbl,g33,2024/3/23,cathay,-,14,22,23,13,-,72,power,-,19,17,13,21,-,70
wsbl,g32,2024/3/22,taiyuen,-,15,25,15,21,-,76,power,-,15,12,17,21,-,65
wsbl,g31,2024/3/22,cathay,-,11,25,22,24,-,82,telecom,-,17,9,19,15,-,60
